# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
  115 2026-04-17T11:10:00+05:30       9.63       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  116 2026-04-17T11:11:00+05:30       9.63       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  117 2026-04-17T11:12:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  118 2026-04-17T11:13:00+05:30       9.62       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  119 2026-04-17T11:14:00+05:30       9.62       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  120 2026-04-17T11:15:00+05:30       9.63       9.63       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  121 2026-04-17T11:16:00+05:30       9.62       9.64       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  122 2026-04-17T11:17:00+05:30       9.64       9.64       9.62       9.62   -0.207          TP≥9.6882 SL≤8.676
  123 2026-04-17T11:18:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
  124 2026-04-17T11:19:00+05:30       9.62       9.63       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
  125 2026-04-17T11:20:00+05:30       9.62       9.62       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
  126 2026-04-17T11:21:00+05:30       9.62       9.62       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  127 2026-04-17T11:22:00+05:30       9.60       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  128 2026-04-17T11:23:00+05:30       9.59       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  129 2026-04-17T11:24:00+05:30       9.60       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  130 2026-04-17T11:25:00+05:30       9.59       9.60       9.59       9.59   -0.519          TP≥9.6882 SL≤8.676
  131 2026-04-17T11:26:00+05:30       9.59       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  132 2026-04-17T11:27:00+05:30       9.60       9.60       9.58       9.60   -0.415          TP≥9.6882 SL≤8.676
  133 2026-04-17T11:28:00+05:30       9.60       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
  134 2026-04-17T11:29:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  135 2026-04-17T11:30:00+05:30       9.60       9.60       9.59       9.60   -0.415          TP≥9.6882 SL≤8.676
  136 2026-04-17T11:31:00+05:30       9.60       9.60       9.58       9.59   -0.519          TP≥9.6882 SL≤8.676
